Compound	DMSO only	DMSO+Cmpnd LFmax	TMZ only	TMZ+Cmpnd
KRN 633	0.336	0.247	0.38	0.557
Regorafenib (BAY 73-4506)	0.336	0.245	0.38	0.355
Telatinib	0.336	0.188	0.38	0.517
SAR131675	0.336	0.185	0.38	0.467
Tie2 kinase inhibitor	0.336	0.085	0.38	0.342
Semaxanib (SU5416)	0.336	0.359	0.38	0.561
Apatinib	0.336	0.158	0.38	0.352
Vandetanib (ZD6474)	0.336	0.306	0.38	0.467
ZM 323881 HCl	0.336	0.302	0.38	0.356
Crenolanib (CP-868596)	0.336	0.446	0.38	0.786
Brivanib (BMS-540215)	0.336	0.266	0.38	0.344
Brivanib Alaninate (BMS-582664)	0.336	0.310	0.38	0.313
Motesanib Diphosphate (AMG-706)	0.336	0.431	0.38	0.498
Ki8751	0.336	0.473	0.38	0.564
Pazopanib HCl (GW786034 HCl)	0.336	0.727	0.38	0.750
Axitinib	0.336	0.595	0.38	0.834
ZM 306416	0.336	0.306	0.38	0.454
Bexarotene	0.336	0.286	0.38	0.538
Tamibarotene	0.336	0.324	0.38	0.559
Tretinoin	0.336	0.428	0.38	0.522
Chlorocresol	0.336	0.231	0.38	0.268
SKI II	0.336	0.165	0.38	0.324
Fingolimod (FTY720) HCl	0.336	0.076	0.38	0.226
PF-4708671	0.336	0.121	0.38	0.369
MK-8245	0.336	0.407	0.38	0.788
PluriSIn 1 (NSC 14613)	0.336	0.580	0.38	0.396
Gabexate Mesylate	0.336	0.308	0.38	0.390
Nafamostat Mesylate	0.336	0.396	0.38	0.359
Dapagliflozin	0.336	0.248	0.38	0.393
Empagliflozin (BI 10773)	0.336	0.242	0.38	0.378
Canagliflozin	0.336	0.312	0.38	0.361
Fisetin	0.336	0.197	0.38	0.379
Sirtinol	0.336	0.203	0.38	0.355
EX 527 (Selisistat)	0.336	0.263	0.38	0.327
Resveratrol	0.336	0.309	0.38	0.361
SRT1720	0.336	0.338	0.38	0.379
Tenovin-1	0.336	0.440	0.38	0.456
Bendroflumethiazide	0.336	0.216	0.38	0.326
Meticrane	0.336	0.272	0.38	0.378
Torsemide 	0.336	0.298	0.38	0.391
Hydrochlorothiazide	0.336	0.246	0.38	0.328
Trichlormethiazide 	0.336	0.257	0.38	0.321
Indapamide 	0.336	0.330	0.38	0.387
Furosemide 	0.336	0.328	0.38	0.376
Chlorothiazide	0.336	0.381	0.38	0.405
Bumetanide	0.336	0.345	0.38	0.348
Metolazone 	0.336	0.377	0.38	0.361
Reboxetine mesylate	0.336	0.330	0.38	0.336
Maprotiline HCl	0.336	0.320	0.38	0.290
Milnacipran HCl	0.336	0.320	0.38	0.369
Nefopam HCl	0.336	0.322	0.38	0.342
Amfebutamone HCl	0.336	0.213	0.38	0.334
Paroxetine HCl	0.336	0.153	0.38	0.378
Desvenlafaxine	0.336	0.190	0.38	0.409
Escitalopram Oxalate	0.336	0.191	0.38	0.348
Desvenlafaxine Succinate	0.336	0.182	0.38	0.326
Trazodone HCl 	0.336	0.283	0.38	0.368
Vilazodone HCl	0.336	0.290	0.38	0.359
Dapoxetine HCl 	0.336	0.268	0.38	0.326
Fluoxetine HCl	0.336	0.285	0.38	0.327
Fluvoxamine maleate	0.336	0.328	0.38	0.325
Tianeptine sodium	0.336	0.369	0.38	0.356
Duloxetine HCl	0.336	0.151	0.38	0.296
Venlafaxine	0.336	0.311	0.38	0.365
Imipramine HCl	0.336	0.208	0.38	0.339
BMS-833923	0.336	0.161	0.38	0.323
LDE225 (NVP-LDE225,Erismodegib)	0.336	0.159	0.38	0.318
PF-5274857	0.336	0.234	0.38	0.360
Purmorphamine	0.336	0.211	0.38	0.330
SANT-1	0.336	0.274	0.38	0.261
Vismodegib (GDC-0449)	0.336	0.319	0.38	0.287
Dyclonine HCl	0.336	0.142	0.38	0.348
Riluzole	0.336	0.159	0.38	0.341
Benzocaine	0.336	0.275	0.38	0.449
Primidone 	0.336	0.192	0.38	0.360
Triamterene	0.336	0.218	0.38	0.372
Propafenone HCl	0.336	0.229	0.38	0.374
Ambroxol HCl	0.336	0.237	0.38	0.379
Carbamazepine 	0.336	0.235	0.38	0.376
Articaine HCl	0.336	0.245	0.38	0.361
Oxybuprocaine HCl	0.336	0.145	0.38	0.252
Ibutilide Fumarate	0.336	0.203	0.38	0.309
Mexiletine HCl	0.336	0.240	0.38	0.340
Ouabain	0.336	0.475	0.38	0.562
Ranolazine 2HCl	0.336	0.268	0.38	0.354
Amiloride HCl 	0.336	0.293	0.38	0.376
Phenytoin sodium	0.336	0.277	0.38	0.357
A-803467	0.336	0.265	0.38	0.342
Ranolazine 	0.336	0.300	0.38	0.374
Bupivacaine HCl 	0.336	0.278	0.38	0.350
Pramoxine HCl	0.336	0.264	0.38	0.314
Phenytoin	0.336	0.298	0.38	0.340
Proparacaine HCl	0.336	0.314	0.38	0.354
Sodium Picosulfate	0.336	0.385	0.38	0.425
Dibucaine HCl	0.336	0.305	0.38	0.336
Mepivacaine HCl	0.336	0.363	0.38	0.388
Oxcarbazepine	0.336	0.367	0.38	0.349
Rufinamide	0.336	0.370	0.38	0.348
Ropivacaine HCl	0.336	0.321	0.38	0.292
Tolperisone HCl	0.336	0.207	0.38	0.363
SRPIN340	0.336	0.216	0.38	0.366
Stattic	0.336	0.194	0.38	0.591
Cryptotanshinone	0.336	0.166	0.38	0.223
S3I-201	0.336	0.362	0.38	0.356
YM155 (Sepantronium Bromide)	0.336	0.913	0.38	0.966
Levetiracetam	0.336	0.348	0.38	0.317
Erastin	0.336	0.613	0.38	0.872
Sulfasalazine	0.336	0.327	0.38	0.357
Fosaprepitant dimeglumine salt	0.336	0.255	0.38	0.341
Aprepitant	0.336	0.269	0.38	0.334
Doxapram HCl	0.336	0.270	0.38	0.308
BIBR 1532	0.336	0.363	0.38	0.349
Dabigatran Etexilate	0.336	0.292	0.38	0.389
Argatroban	0.336	0.304	0.38	0.310
Eltrombopag	0.336	0.172	0.38	0.408
Ozagrel HCl	0.336	0.259	0.38	0.365
Ozagrel	0.336	0.295	0.38	0.380
Methimazole 	0.336	0.365	0.38	0.362
Imiquimod	0.336	0.305	0.38	0.351
Pomalidomide	0.336	0.230	0.38	0.378
Lenalidomide (CC-5013)	0.336	0.301	0.38	0.329
QNZ (EVP4593)	0.336	0.191	0.38	0.379
XAV-939	0.336	0.288	0.38	0.381
Irinotecan	0.336	0.405	0.38	0.494
Topotecan HCl	0.336	0.790	0.38	0.869
SN-38	0.336	0.853	0.38	0.861
Camptothecin	0.336	0.868	0.38	0.857
Irinotecan HCl Trihydrate	0.336	0.757	0.38	0.746
Etoposide	0.336	0.443	0.38	0.704
Flumequine	0.336	0.211	0.38	0.349
Teniposide	0.336	0.889	0.38	0.947
Doxorubicin (Adriamycin)	0.336	0.531	0.38	0.503
Amonafide	0.336	0.561	0.38	0.519
Epirubicin HCl	0.336	0.600	0.38	0.553
Pirarubicin	0.336	0.750	0.38	0.628
Mitoxantrone HCl	0.336	0.333	0.38	0.003
Carbimazole	0.336	0.167	0.38	0.366
Propylthiouracil	0.336	0.260	0.38	0.372
Methylthiouracil	0.336	0.257	0.38	0.333
2-Thiouracil	0.336	0.337	0.38	0.350
GW441756	0.336	0.092	0.38	0.354
Levosimendan	0.336	0.267	0.38	0.303
HC-030031	0.336	0.236	0.38	0.368
SB705498	0.336	0.212	0.38	0.361
AMG-517	0.336	0.311	0.38	0.378
AZ 3146	0.336	0.602	0.38	0.627
Arbutin	0.336	0.183	0.38	0.381
Deoxyarbutin	0.336	0.256	0.38	0.370
Mozavaptan	0.336	0.307	0.38	0.775
Tolvaptan	0.336	0.181	0.38	0.320
Conivaptan HCl 	0.336	0.278	0.38	0.364
DMXAA (Vadimezan)	0.336	0.235	0.38	0.332
Reserpine	0.336	0.270	0.38	0.333
MK-1775	0.336	0.757	0.38	0.783
KY02111	0.336	0.147	0.38	0.353
IWR-1-endo	0.336	0.249	0.38	0.365
ICG-001	0.336	0.169	0.38	0.275
Febuxostat	0.336	0.217	0.38	0.343
Allopurinol 	0.336	0.253	0.38	0.368
Triptolide (PG490)	0.336	0.606	0.38	0.768
